"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Shopping cart","Add multiple items, verify all are present","0","0","1","0","0"
"","Checkout flow","Add multiple items, verify checkout overview list contains all items","0","0","1","0","0"
"","Shopping cart","Remove one item out of several","0","0","1","0","0"
"","Shopping cart","Remove all items one by one","0","0","1","0","0"
"","Checkout flow","Add multiple items, and verify price is correctly calculated","0","0","1","0","0"
"","Shopping cart","Add a product to the shopping cart, remove it and verify","0","0","1","0","0"
"","Sorting Items","Sort products by name Z to A","0","0","1","0","0"
"","Shopping cart","Remove then re-add same item, no duplicate","0","0","1","0","0"
"","Checkout flow","Add a product to the shopping cart, proceed to checkout and verify the checkout process","0","0","1","0","0"
"","Open Sauce Demo","Login with invalid credentials from CSV","0","0","1","0","0"
